BusinessName_PharmacyName,BusinessName_PharmacyName1,Website,EndDate_MembershipType
"
		Costco Wholesale Corporation
		
		999 Lake DriveIssaquah, WA 98027
		
		[+] 518 Stores
		[-] 518 Stores
	",[+] 518 Stores,"
		www.costco.com


	if (""www.costco.com"".indexOf(""http"") != -1)
	{
		document.getElementById(""1359_WEBADDR"").href = ""www.costco.com"";
	}


	","
		
		09/13/24
		
		
		
		Open to all
	"
"
		Curant, Inc
		
		200 Technology Ct SESmyrna, GA 30082
		
		[+] 2 Stores
		[-] 2 Stores
	",[+] 2 Stores,"
		www.curanthealth.com


	if (""www.curanthealth.com"".indexOf(""http"") != -1)
	{
		document.getElementById(""102_WEBADDR"").href = ""www.curanthealth.com"";
	}


	","
		
		01/22/23
		
		
		
		Open to all
	"
"
		DEGC Enterprises US, Inc dba CCS Medical
		
		1505 LBJ Freeway, Suite 550Farmers Branch, TX 75234
		
		[+] 3 Stores
		[-] 3 Stores
	",[+] 3 Stores,"
		www.ccsmed.com


	if (""www.ccsmed.com"".indexOf(""http"") != -1)
	{
		document.getElementById(""765_WEBADDR"").href = ""www.ccsmed.com"";
	}


	","
		
		01/29/23
		
		
		
		Open to all
	"
"
		DIVVYMED, LLC dba DIVVYDOSE
		
		4300 44th AveMoline, IL 61265
		
		[+] 1 Stores
		[-] 1 Stores
	",[+] 1 Stores,"
		www.divvydose.com


	if (""www.divvydose.com"".indexOf(""http"") != -1)
	{
		document.getElementById(""627_WEBADDR"").href = ""www.divvydose.com"";
	}


	","
		
		01/31/25
		
		
		
		Open to all
	"
"
		Dulivuto Corp
		
		4606 FM 1960 WHouston, TX 77069
		
		[+] 1 Stores
		[-] 1 Stores
	",[+] 1 Stores,"
		www.friendswoodhealthmartpharmacy.com


	if (""www.friendswoodhealthmartpharmacy.com"".indexOf(""http"") != -1)
	{
		document.getElementById(""1443_WEBADDR"").href = ""www.friendswoodhealthmartpharmacy.com"";
	}


	","
		
		09/01/24
		
		
		
		
	"
"
		Eagle Pharmacy LLC
		
		350 Eagles Landing DriveLakeland, FL 33810
		
		[+] 1 Stores
		[-] 1 Stores
	",[+] 1 Stores,"
		eaglepharmacy.com


	if (""eaglepharmacy.com"".indexOf(""http"") != -1)
	{
		document.getElementById(""1397_WEBADDR"").href = ""eaglepharmacy.com"";
	}


	","
		
		Reaccreditation in process
		
		
		
		Open to all
	"
"
		Elixir Pharmacy, LLC
		
		7835 Freedom Ave. NWNorth Canton, OH 44720
		
		[+] 1 Stores
		[-] 1 Stores
	",[+] 1 Stores,"
		envisionpharmacies.com


	if (""envisionpharmacies.com"".indexOf(""http"") != -1)
	{
		document.getElementById(""1444_WEBADDR"").href = ""envisionpharmacies.com"";
	}


	","
		
		11/01/24
		
		
		
		Open to all
	"
"
		ESI Mail Pharmacy Service, Inc dba Express Script
		
		One Express WaySaint Louis, MO 63121
		
		[+] 12 Stores
		[-] 12 Stores
	",[+] 12 Stores,"
		www.express-scripts.com


	if (""www.express-scripts.com"".indexOf(""http"") != -1)
	{
		document.getElementById(""518_WEBADDR"").href = ""www.express-scripts.com"";
	}

my.cigna.com


	if (""my.cigna.com"".indexOf(""http"") != -1)
	{
		document.getElementById(""2335_WEBADDR"").href = ""my.cigna.com"";
	}


	","
		
		12/29/22
		
		
		
		Membership Required
	"
"
		Essentia Health
		
		502 E Second StreetDuluth, MN 55805
		
		[+] 27 Stores
		[-] 27 Stores
	",[+] 27 Stores,"
		www.essentiahealth.org


	if (""www.essentiahealth.org"".indexOf(""http"") != -1)
	{
		document.getElementById(""1334_WEBADDR"").href = ""www.essentiahealth.org"";
	}


	","
		
		01/29/24
		
		
		
		Open to all
	"
"
		ExperienceCare Specialty Pharmacy
		
		3730 Kirby Dr, Ste 210Houston, TX 77098
		
		[+] 1 Stores
		[-] 1 Stores
	",[+] 1 Stores,"
		www.ecspecialtyrx.com


	if (""www.ecspecialtyrx.com"".indexOf(""http"") != -1)
	{
		document.getElementById(""2240_WEBADDR"").href = ""www.ecspecialtyrx.com"";
	}


	","
		
		06/09/24
		
		
		
		
	"
"
		Genesis Apothecary, Inc. dba Rosh Pharmacy
		
		101 Southwestern Blvd, Ste 100Sugar Land, TX 77478
		
		[+] 1 Stores
		[-] 1 Stores
	",[+] 1 Stores,"
		rosh.pharmacy


	if (""rosh.pharmacy"".indexOf(""http"") != -1)
	{
		document.getElementById(""2244_WEBADDR"").href = ""rosh.pharmacy"";
	}


	","
		
		10/07/24
		
		
		
		
	"
"
		Gentry Health Services, Inc
		
		33381 Walker RoadAvon Lake, OH 44012
		
		[+] 1 Stores
		[-] 1 Stores
	",[+] 1 Stores,"
		gentryhealthservices.com


	if (""gentryhealthservices.com"".indexOf(""http"") != -1)
	{
		document.getElementById(""157_WEBADDR"").href = ""gentryhealthservices.com"";
	}


	","
		
		11/08/24
		
		
		
		Membership Required
	"
"
		Green Oaks Pharma, Inc dba DFW Wellness Pharmacy
		
		711 E Lamar Blvd STE 101Arlington, TX 76011
		
		[+] 1 Stores
		[-] 1 Stores
	",[+] 1 Stores,"
		www.dfwwellnesspharmacy.com


	if (""www.dfwwellnesspharmacy.com"".indexOf(""http"") != -1)
	{
		document.getElementById(""859_WEBADDR"").href = ""www.dfwwellnesspharmacy.com"";
	}


	","
		
		01/29/23
		
		
		
		Open to all
	"
"
		Harper's Pharmacy, Inc.
		
		132 S Anita DrOrange, CA 92868
		
		[+] 2 Stores
		[-] 2 Stores
	",[+] 2 Stores,"
		ameripharma.us


	if (""ameripharma.us"".indexOf(""http"") != -1)
	{
		document.getElementById(""1471_WEBADDR"").href = ""ameripharma.us"";
	}


	","
		
		03/25/23
		
		
		
		
	"
"
		Harris Teeter, LLC
		
		701 Crestdale RdMatthews, NC 28105
		
		[+] 204 Stores
		[-] 204 Stores
	",[+] 204 Stores,"
		www.harristeeter.com


	if (""www.harristeeter.com"".indexOf(""http"") != -1)
	{
		document.getElementById(""2220_WEBADDR"").href = ""www.harristeeter.com"";
	}

www.harristeeterpharmacy.com


	if (""www.harristeeterpharmacy.com"".indexOf(""http"") != -1)
	{
		document.getElementById(""2219_WEBADDR"").href = ""www.harristeeterpharmacy.com"";
	}

www.harristeeter.pharmacy


	if (""www.harristeeter.pharmacy"".indexOf(""http"") != -1)
	{
		document.getElementById(""2221_WEBADDR"").href = ""www.harristeeter.pharmacy"";
	}


	","
		
		09/06/24
		
		
		
		
	"
"
		HomeTown Pharmacy, Inc
		
		4171 S Oceana DrNew Era, MI 49446
		
		[+] 39 Stores
		[-] 39 Stores
	",[+] 39 Stores,"
		www.hometownpharmacy.com


	if (""www.hometownpharmacy.com"".indexOf(""http"") != -1)
	{
		document.getElementById(""255_WEBADDR"").href = ""www.hometownpharmacy.com"";
	}

www.hometown.pharmacy


	if (""www.hometown.pharmacy"".indexOf(""http"") != -1)
	{
		document.getElementById(""795_WEBADDR"").href = ""www.hometown.pharmacy"";
	}


	","
		
		Reaccreditation in process
		
		
		
		Open to all
	"
"
		Hwareh.com, Inc dba HealthWarehouse.com
		
		7107 Industrial RdFlorence, KY 41042
		
		[+] 1 Stores
		[-] 1 Stores
	",[+] 1 Stores,"
		www.healthwarehouse.com


	if (""www.healthwarehouse.com"".indexOf(""http"") != -1)
	{
		document.getElementById(""550_WEBADDR"").href = ""www.healthwarehouse.com"";
	}

www.healthwarehouse.pharmacy


	if (""www.healthwarehouse.pharmacy"".indexOf(""http"") != -1)
	{
		document.getElementById(""808_WEBADDR"").href = ""www.healthwarehouse.pharmacy"";
	}


	","
		
		04/23/25
		
		
		
		Open to all
	"
"
		Hy-Vee, Inc.
		
		5820 Westown ParkwayWest Des Moines, IA 50266-8223
		
		[+] 275 Stores
		[-] 275 Stores
	",[+] 275 Stores,"
		www.hy-vee.com


	if (""www.hy-vee.com"".indexOf(""http"") != -1)
	{
		document.getElementById(""2097_WEBADDR"").href = ""www.hy-vee.com"";
	}


	","
		
		07/13/24
		
		
		
		
	"
"
		HYVACS, LLC d/b/a Hy-Vee Pharmacy Solutions
		
		10004 South 152nd St, Ste COmaha, NE 68138
		
		[+] 2 Stores
		[-] 2 Stores
	",[+] 2 Stores,"
		www.hvrxsolutions.com


	if (""www.hvrxsolutions.com"".indexOf(""http"") != -1)
	{
		document.getElementById(""2113_WEBADDR"").href = ""www.hvrxsolutions.com"";
	}


	","
		
		09/20/24
		
		
		
		Open to all
	"
"
		IHC Health Services Inc.
		
		4393 S Riverboat Rd Suite 100Taylorsville, UT 84123
		
		[+] 3 Stores
		[-] 3 Stores
	",[+] 3 Stores,"
		intermountainhealthcare.org/services/pharmacy/


	if (""intermountainhealthcare.org/services/pharmacy/"".indexOf(""http"") != -1)
	{
		document.getElementById(""1434_WEBADDR"").href = ""intermountainhealthcare.org/services/pharmacy/"";
	}


	","
		
		12/03/24
		
		
		
		Open to all
	"
"
		Indiana University Health, Inc
		
		340 W 10th StIndianapolis, IN 46202
		
		[+] 13 Stores
		[-] 13 Stores
	",[+] 13 Stores,"
		www.iuhealth.org/patients/pharmacies/


	if (""www.iuhealth.org/patients/pharmacies/"".indexOf(""http"") != -1)
	{
		document.getElementById(""1236_WEBADDR"").href = ""www.iuhealth.org/patients/pharmacies/"";
	}


	","
		
		Reaccreditation in process
		
		
		
		Open to all
	"
"
		Infinity Compounding Solutions, LLC dba Infinity C
		
		1204 SE 28th St, Suite 2Bentonville, AR 72712
		
		[+] 1 Stores
		[-] 1 Stores
	",[+] 1 Stores,"
		www.icsrx.com


	if (""www.icsrx.com"".indexOf(""http"") != -1)
	{
		document.getElementById(""760_WEBADDR"").href = ""www.icsrx.com"";
	}


	","
		
		Reaccreditation in process
		
		
		
		Open to all
	"
"
		Jolanto Corp dba Memorial Pharmacy
		
		10101 Southwest FreewayHouston, TX 77074
		
		[+] 1 Stores
		[-] 1 Stores
	",[+] 1 Stores,"
		www.memorial.pharmacy


	if (""www.memorial.pharmacy"".indexOf(""http"") != -1)
	{
		document.getElementById(""1309_WEBADDR"").href = ""www.memorial.pharmacy"";
	}


	","
		
		08/15/24
		
		
		
		
	"
"
		Kmart Corporation
		
		3333 Beverly RoadHoffman Estates, IL 60179
		
		[+] 100 Stores
		[-] 100 Stores
	",[+] 100 Stores,"
		www.kmart.com


	if (""www.kmart.com"".indexOf(""http"") != -1)
	{
		document.getElementById(""272_WEBADDR"").href = ""www.kmart.com"";
	}

www.mygofer.com


	if (""www.mygofer.com"".indexOf(""http"") != -1)
	{
		document.getElementById(""273_WEBADDR"").href = ""www.mygofer.com"";
	}


	","
		
		01/12/24
		
		
		
		Open to all
	"
"
		Magellan Rx Pharmacy, LLC
		
		6870 Shadowridge Drive, Suite 111Orlando, FL 32812
		
		[+] 2 Stores
		[-] 2 Stores
	",[+] 2 Stores,"
		www.magellanrx.pharmacy


	if (""www.magellanrx.pharmacy"".indexOf(""http"") != -1)
	{
		document.getElementById(""2122_WEBADDR"").href = ""www.magellanrx.pharmacy"";
	}


	","
		
		06/03/24
		
		
		
		
	"
"
		MedImpact Direct, LLC
		
		8060 S Kyrene RdTempe, AZ 85284
		
		[+] 1 Stores
		[-] 1 Stores
	",[+] 1 Stores,"
		www.medimpact.com


	if (""www.medimpact.com"".indexOf(""http"") != -1)
	{
		document.getElementById(""1959_WEBADDR"").href = ""www.medimpact.com"";
	}

www.medimpactdirect.com


	if (""www.medimpactdirect.com"".indexOf(""http"") != -1)
	{
		document.getElementById(""1960_WEBADDR"").href = ""www.medimpactdirect.com"";
	}


	","
		
		11/16/24
		
		
		
		
	"
"
		Meijer, Inc
		
		2929 Walker Avenue NWGrand Rapids, MI 49544
		
		[+] 242 Stores
		[-] 242 Stores
	",[+] 242 Stores,"
		www.meijer.com


	if (""www.meijer.com"".indexOf(""http"") != -1)
	{
		document.getElementById(""689_WEBADDR"").href = ""www.meijer.com"";
	}

www.meijerspecialtypharmacy.com 


	if (""www.meijerspecialtypharmacy.com "".indexOf(""http"") != -1)
	{
		document.getElementById(""1725_WEBADDR"").href = ""www.meijerspecialtypharmacy.com "";
	}


	","
		
		Reaccreditation in process
		
		
		
		Open to all
	"
"
		Millennial Benefit Management Corporation dba GeniusRX
		
		622 Banyan Trail STE 614Boca Raton, FL 33431
		
		[+] 1 Stores
		[-] 1 Stores
	",[+] 1 Stores,"
		www.geniusrx.com


	if (""www.geniusrx.com"".indexOf(""http"") != -1)
	{
		document.getElementById(""2542_WEBADDR"").href = ""www.geniusrx.com"";
	}


	","
		
		04/22/25
		
		
		
		Open to all
	"
"
		Mini Pharmacy Enterprises, Inc.
		
		2425 Porter StreetLos Angeles, CA 90021
		
		[+]  Stores
		[-]  Stores
	",[+]  Stores,"
		
	","
		
		02/11/25
		
		
		
		
	"
"
		MobiMeds, Inc dba The Pill Club
		
		411 Borel AveSan Mateo, CA 94402
		
		[+] 1 Stores
		[-] 1 Stores
	",[+] 1 Stores,"
		www.thepillclub.com


	if (""www.thepillclub.com"".indexOf(""http"") != -1)
	{
		document.getElementById(""1209_WEBADDR"").href = ""www.thepillclub.com"";
	}


	","
		
		08/31/23
		
		
		
		Open to all
	"
"
		Noble Health Services, Inc.
		
		6040 Tarbell RoadSyracuse, NY 13206
		
		[+] 2 Stores
		[-] 2 Stores
	",[+] 2 Stores,"
		www.noblehealthservices.com


	if (""www.noblehealthservices.com"".indexOf(""http"") != -1)
	{
		document.getElementById(""1272_WEBADDR"").href = ""www.noblehealthservices.com"";
	}


	","
		
		09/07/23
		
		
		
		Open to all
	"
"
		North Coast Medical Supply, LLC dba Advanced Diabetes Supply
		
		2544 Campbell Pl, Suite 150Carlsbad, CA 92009
		
		[+] 1 Stores
		[-] 1 Stores
	",[+] 1 Stores,"
		www.northcoastmed.com


	if (""www.northcoastmed.com"".indexOf(""http"") != -1)
	{
		document.getElementById(""690_WEBADDR"").href = ""www.northcoastmed.com"";
	}


	","
		
		06/03/25
		
		
		
		Open to all
	"
"
		OncoMed Specialty LLC dba Onco360 Oncology Pharmacy
		
		13410 Eastpoint Centre Drive, Suite 101Louisville, KY 40223
		
		[+] 7 Stores
		[-] 7 Stores
	",[+] 7 Stores,"
		www.onco360.com


	if (""www.onco360.com"".indexOf(""http"") != -1)
	{
		document.getElementById(""1436_WEBADDR"").href = ""www.onco360.com"";
	}


	","
		
		12/20/24
		
		
		
		Open to all
	"
"
		OptumRx, Inc
		
		2300 Main StIrvine, CA 92614
		
		[+] 13 Stores
		[-] 13 Stores
	",[+] 13 Stores,"
		www.optumrx.com


	if (""www.optumrx.com"".indexOf(""http"") != -1)
	{
		document.getElementById(""696_WEBADDR"").href = ""www.optumrx.com"";
	}

www.briovarx.com


	if (""www.briovarx.com"".indexOf(""http"") != -1)
	{
		document.getElementById(""1445_WEBADDR"").href = ""www.briovarx.com"";
	}


	","
		
		04/20/23
		
		
		
		Membership Required
	"
"
		Orsini Pharmaceutical Services, LLC dba Orsini Health Care
		
		1111 Nicholas BlvdElk Grove Village, IL 60007
		
		[+] 1 Stores
		[-] 1 Stores
	",[+] 1 Stores,"
		www.orsinihealthcare.com/


	if (""www.orsinihealthcare.com/"".indexOf(""http"") != -1)
	{
		document.getElementById(""209_WEBADDR"").href = ""www.orsinihealthcare.com/"";
	}


	","
		
		03/07/25
		
		
		
		Open to all
	"
"
		PANTHERx Specialty LLC
		
		24 Summit Park DrPittsburgh, PA 15275
		
		[+] 2 Stores
		[-] 2 Stores
	",[+] 2 Stores,"
		www.pantherxrare.com


	if (""www.pantherxrare.com"".indexOf(""http"") != -1)
	{
		document.getElementById(""1988_WEBADDR"").href = ""www.pantherxrare.com"";
	}


	","
		
		01/22/24
		
		
		
		Open to all
	"
"
		Pharma Buddies Corp
		
		5860 N Orange Blossom TrailOrlando, FL 32810
		
		[+] 2 Stores
		[-] 2 Stores
	",[+] 2 Stores,"
		www.rosemontspecialtyrx.com/


	if (""www.rosemontspecialtyrx.com/"".indexOf(""http"") != -1)
	{
		document.getElementById(""1808_WEBADDR"").href = ""www.rosemontspecialtyrx.com/"";
	}


	","
		
		02/13/23
		
		
		
		
	"
"
		PharmaMedRx LLC dba Mint Pharmacy and Skin Clinic
		
		1201 US Highway 1North Palm Beach, FL 33408
		
		[+] 1 Stores
		[-] 1 Stores
	",[+] 1 Stores,"
		www.mintrxpharmacy.com


	if (""www.mintrxpharmacy.com"".indexOf(""http"") != -1)
	{
		document.getElementById(""1263_WEBADDR"").href = ""www.mintrxpharmacy.com"";
	}


	","
		
		Reaccreditation in process
		
		
		
		Open to all
	"
"
		PillPack LLC dba PillPack by Amazon Pharmacy
		
		250 Commercial St, Suite 2012Manchester, NH 03101
		
		[+] 8 Stores
		[-] 8 Stores
	",[+] 8 Stores,"
		www.amazon.com


	if (""www.amazon.com"".indexOf(""http"") != -1)
	{
		document.getElementById(""2303_WEBADDR"").href = ""www.amazon.com"";
	}

www.pillpack.com


	if (""www.pillpack.com"".indexOf(""http"") != -1)
	{
		document.getElementById(""234_WEBADDR"").href = ""www.pillpack.com"";
	}

www.pillpack.pharmacy


	if (""www.pillpack.pharmacy"".indexOf(""http"") != -1)
	{
		document.getElementById(""794_WEBADDR"").href = ""www.pillpack.pharmacy"";
	}


	","
		
		08/11/23
		
		
		
		Open to all
	"
"
		Postmeds Inc dba TruePill 
		
		3121 Diablo AveHayward, CA 94545
		
		[+] 1 Stores
		[-] 1 Stores
	",[+] 1 Stores,"
		truepill.pharmacy


	if (""truepill.pharmacy"".indexOf(""http"") != -1)
	{
		document.getElementById(""1579_WEBADDR"").href = ""truepill.pharmacy"";
	}

www.truepill.com


	if (""www.truepill.com"".indexOf(""http"") != -1)
	{
		document.getElementById(""1457_WEBADDR"").href = ""www.truepill.com"";
	}


	","
		
		Reaccreditation in process
		
		
		
		Open to All
	"
"
		Powerhouse Pharmacy LLC
		
		4740 W Mockingbird Ln, Suite 100BDallas, TX 75209
		
		[+] 1 Stores
		[-] 1 Stores
	",[+] 1 Stores,"
		www.powerhousepharmacy.com


	if (""www.powerhousepharmacy.com"".indexOf(""http"") != -1)
	{
		document.getElementById(""2198_WEBADDR"").href = ""www.powerhousepharmacy.com"";
	}


	","
		
		08/15/24
		
		
		
		
	"
"
		Ridgeway Pharmacy, Ltd
		
		2824 N Hwy 93Victor, MT 59875
		
		[+] 1 Stores
		[-] 1 Stores
	",[+] 1 Stores,"
		www.ridgeway.pharmacy


	if (""www.ridgeway.pharmacy"".indexOf(""http"") != -1)
	{
		document.getElementById(""786_WEBADDR"").href = ""www.ridgeway.pharmacy"";
	}


	","
		
		Reaccreditation in process
		
		
		
		Open to all
	"
"
		Ron Group, LLC
		
		1501 Belle Isle AveMount Pleasant, SC 29464
		
		[+] 1 Stores
		[-] 1 Stores
	",[+] 1 Stores,"
		www.blueskyspecialtypharmacy.com


	if (""www.blueskyspecialtypharmacy.com"".indexOf(""http"") != -1)
	{
		document.getElementById(""2175_WEBADDR"").href = ""www.blueskyspecialtypharmacy.com"";
	}


	","
		
		04/18/25
		
		
		
		
	"
